epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
37,0.8304,0.4234,0.7913,0.9006,0.8818,0.644,0.6001,0.6339,0.724,0.7382,0.7657,0.6208,0.7451,0.8052,0.7544,0.7729,0.4964,0.7733,0.7881,0.8166,0.7514,0.4734,0.725,0.809,0.8225,0.9347,0.6496318578720093,0.7627561688423157,0.6999,0.7529,0.5228,0.7337,0.8054,0.8027
38,0.8285,0.4227,0.7888,0.9017,0.8817,0.6854,0.56,0.6657,0.7563,0.7733,0.8023,0.6093,0.7741,0.8608,0.7619,0.7723,0.4974,0.77,0.7898,0.8167,0.7645,0.4831,0.7371,0.8141,0.8205,0.9573,0.6508942246437073,0.7615790963172913,0.7161,0.7706,0.5145,0.7471,0.8245,0.8108
39,0.83,0.4171,0.7902,0.9028,0.8828,0.6832,0.5565,0.6641,0.762,0.7692,0.7644,0.6341,0.7445,0.8021,0.7487,0.7721,0.4964,0.7696,0.7899,0.8179,0.7496,0.4734,0.7234,0.8236,0.8217,0.9387,0.6457592248916626,0.764130711555481,0.7319,0.7599,0.5155,0.7384,0.8161,0.8081
40,0.8309,0.4165,0.7915,0.9027,0.8825,0.6414,0.5928,0.6345,0.7318,0.7343,0.7643,0.6278,0.7443,0.8057,0.7563,0.775,0.4921,0.7709,0.7924,0.8204,0.7492,0.474,0.7225,0.8119,0.8209,0.9672,0.6414106488227844,0.7667481899261475,0.7482,0.7522,0.5206,0.7327,0.8089,0.8029
41,0.8321,0.4106,0.7925,0.9039,0.8847,0.6619,0.566,0.6473,0.7277,0.76,0.7936,0.6114,0.7674,0.8454,0.7572,0.7723,0.4962,0.7675,0.7917,0.8189,0.7506,0.4715,0.724,0.8211,0.8232,1.0647,0.6457774043083191,0.7649766206741333,0.7661,0.7621,0.5111,0.7397,0.818,0.8088
42,0.8355,0.4074,0.7967,0.9041,0.8852,0.6689,0.5651,0.6546,0.7534,0.7598,0.7622,0.6253,0.7455,0.7931,0.7555,0.7753,0.4907,0.7727,0.7914,0.8222,0.7649,0.482,0.7371,0.8151,0.8182,1.0541,0.6381502747535706,0.7676599025726318,0.7838,0.7614,0.5141,0.7413,0.8114,0.8082
43,0.8359,0.4013,0.7964,0.9058,0.8872,0.6828,0.566,0.6646,0.7715,0.7631,0.7998,0.6029,0.773,0.8529,0.7625,0.7727,0.4969,0.7684,0.7917,0.8203,0.7599,0.486,0.7332,0.8073,0.8158,0.9856,0.6366761922836304,0.7682285308837891,0.8004,0.7702,0.5106,0.7471,0.8258,0.8098
44,0.8388,0.3977,0.8001,0.9057,0.8879,0.6592,0.5748,0.6468,0.7455,0.7507,0.8067,0.5777,0.7774,0.8705,0.7745,0.7754,0.4927,0.7732,0.7913,0.8232,0.765,0.4807,0.739,0.8093,0.8185,0.9657,0.6371374726295471,0.767967164516449,0.8166,0.769,0.5047,0.7473,0.8245,0.811
45,0.8423,0.3935,0.8047,0.9053,0.8887,0.6805,0.5499,0.6627,0.7583,0.7684,0.804,0.5875,0.7779,0.8541,0.7767,0.7778,0.4887,0.7781,0.7908,0.8248,0.7571,0.4612,0.7295,0.8317,0.8264,0.9693,0.6293940544128418,0.7708180546760559,0.8329,0.7723,0.4962,0.7506,0.828,0.817
46,0.8437,0.3898,0.8061,0.9064,0.8901,0.6561,0.5923,0.6412,0.7451,0.7396,0.8062,0.5939,0.7787,0.8581,0.7688,0.7767,0.4911,0.7765,0.7908,0.8243,0.7557,0.4633,0.7283,0.8317,0.8255,0.9347,0.6314271092414856,0.7706843614578247,0.8486,0.7677,0.5061,0.7462,0.8264,0.8097
47,0.843,0.386,0.8047,0.9076,0.8905,0.6577,0.5772,0.6474,0.7487,0.7469,0.8018,0.5911,0.7753,0.8533,0.7723,0.7749,0.4924,0.7734,0.7903,0.8229,0.7659,0.4754,0.736,0.8261,0.8205,0.9344,0.6282986402511597,0.7723362445831299,0.8645,0.7687,0.5044,0.7474,0.8252,0.8106
48,0.8468,0.3817,0.8098,0.9072,0.8916,0.7144,0.52,0.6906,0.771,0.791,0.8034,0.5686,0.7799,0.8451,0.7809,0.7763,0.4907,0.7773,0.7895,0.8233,0.7508,0.4677,0.7235,0.8217,0.8209,0.927,0.6282837390899658,0.7707362174987793,0.8801,0.7783,0.4857,0.7562,0.8269,0.8215
49,0.8473,0.3815,0.8105,0.9075,0.8915,0.6696,0.5577,0.654,0.7411,0.7632,0.7657,0.6047,0.7538,0.7875,0.7704,0.778,0.4889,0.7772,0.7915,0.8255,0.7547,0.4627,0.7273,0.8321,0.825,0.9556,0.6275671124458313,0.7722764015197754,0.8962,0.7631,0.4991,0.7446,0.8119,0.8151
50,0.8452,0.3808,0.8073,0.9085,0.8914,0.6817,0.5461,0.6645,0.7623,0.7684,0.8034,0.5856,0.7752,0.8636,0.7737,0.7759,0.4928,0.7718,0.7926,0.8235,0.7672,0.4735,0.738,0.8233,0.8218,0.9304,0.6255640387535095,0.7737008333206177,0.9118,0.7747,0.4958,0.7514,0.8301,0.8158
51,0.8511,0.3739,0.8153,0.9077,0.8934,0.6383,0.5955,0.6349,0.7362,0.7292,0.807,0.579,0.7797,0.86,0.7788,0.7795,0.4891,0.7819,0.7906,0.8249,0.7535,0.4632,0.7257,0.8236,0.8227,0.9562,0.6240542531013489,0.7733736634254456,0.9279,0.7659,0.5001,0.7475,0.8236,0.8098
52,0.8484,0.377,0.8114,0.9085,0.8924,0.7083,0.5204,0.6856,0.7687,0.7889,0.8123,0.5668,0.7846,0.8653,0.7806,0.7789,0.4901,0.7778,0.7925,0.8255,0.7722,0.469,0.7417,0.8318,0.8235,0.9434,0.6247798204421997,0.772717297077179,0.9438,0.784,0.4847,0.7602,0.8334,0.8222
